Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 55-59,633,314000,0,52000,3520,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 60-64,558,270000,0,50730,5560,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 65-69,513,233000,0,49660,5090,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 70-74,426,190000,0,40070,4760,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 75-79,339,125000,0,33420,2940,
Average Disposable income,Intra-family equal,Dollars (tax year 2018/19),Age 80+,312,157000,0,30280,2800,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,13390,740,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,13850,930,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,14450,1090,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,16150,1280,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,27660,2260,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,37090,3020,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,40540,2020,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,39910,2530,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,47330,3670,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,49330,4050,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,55210,7450,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,53090,3790,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,54040,6530,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,49650,4810,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,39770,4960,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,33310,3000,
Average Disposable income,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,30660,2820,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,13980,690,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,13990,900,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,15720,1060,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,25460,2070,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,32710,2820,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,37700,3010,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,40140,1990,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,39430,2390,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,45190,3230,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,46120,3710,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,50090,6040,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,50610,3330,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,51240,5360,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,48760,4720,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,39170,4850,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,33380,3120,
Average Disposable income,Intra-household mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,31240,2960,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,7520,1050,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,27600,1940,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,40350,4210,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,48150,2390,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,49960,3430,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,59340,4730,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,57440,5780,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,60000,7830,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,53630,4040,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,57030,7900,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,49880,4570,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,40380,4990,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,33180,3000,
Average Disposable income,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,30660,2870,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,,,,,,Not applicable
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,,,,,,Not applicable
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,,,,,,Not applicable
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,,,,,,Suppressed
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,102,57000,12000,32950,9030,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,213,114000,17000,46310,8570,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,165,79000,12000,53290,4960,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,90,41000,9000,49800,7410,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,90,45000,10000,55070,5720,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,198,95000,14000,60190,7590,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,297,155000,15000,64750,14250,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,384,199000,14000,55600,4830,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,327,165000,11000,60390,8370,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,336,158000,9000,51970,6220,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,282,135000,10000,40020,6610,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,216,84000,7000,32570,3680,
Average Disposable income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,141,76000,7000,30120,5180,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,543,244000,11000,14790,860,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,570,257000,10000,15120,1130,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,525,241000,11000,15710,1460,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,225,133000,14000,18200,2590,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,30,15000,7000,22200,3200,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,162,80000,16000,28080,1990,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,363,162000,13000,37530,2750,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,423,184000,14000,38270,3350,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,381,178000,12000,46250,6050,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,315,163000,15000,45340,5600,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,168,87000,15000,48720,7210,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,66,36000,9000,44830,8710,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,27,16000,5000,38940,12030,
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,,,,,,Suppressed
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,,,,,,Suppressed
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,,,,,,Suppressed
Average Disposable income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,,,,,,Suppressed
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,,,,,,Not applicable
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,,,,,,Not applicable
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,,,,,,Not applicable
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,216,119000,13000,15170,1770,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,366,248000,13000,27020,2360,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,225,150000,15000,36210,2560,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,135,79000,11000,36320,5190,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,114,63000,10000,40680,5680,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,90,47000,9000,49640,6890,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,132,58000,9000,44670,6410,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,129,62000,10000,44310,5430,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,174,76000,11000,50750,5620,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,192,85000,10000,45060,10700,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,168,71000,9000,45230,6830,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,135,52000,9000,39730,4890,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,120,39000,7000,35460,5200,
Average Disposable income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,174,81000,8000,31020,2290,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,120,61000,11000,7790,480,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,189,70000,10000,9160,570,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,198,73000,11000,10290,710,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,93,42000,11000,11210,1270,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,21,12000,5000,22580,1890,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,45,23000,6000,28520,2530,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,45,17000,6000,32120,3370,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,54,23000,6000,31650,2720,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,72,29000,6000,38240,5240,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,51,14000,5000,41430,8490,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,33,13000,5000,36770,7130,
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,,,,,,Suppressed
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,,,,,,Suppressed
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,,,,,,Suppressed
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,,,,,,Suppressed
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,,,,,,Suppressed
Average Disposable income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,,,,,,Suppressed
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,6170,460,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,7590,110,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,7870,60,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,7890,460,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,3470,510,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,1690,370,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,970,310,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,680,230,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,600,240,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,550,200,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,500,210,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,,,Suppressed
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,,,Suppressed
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,,,Suppressed
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,,,Suppressed
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,0,0,
Average Education spending,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,0,0,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,22000,1630,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,32530,1780,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,46270,4520,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,52340,2380,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,54600,3630,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,61440,4640,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,64570,6210,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,68060,8330,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,63920,4750,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,68500,8600,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,61740,5460,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,54020,6690,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,48480,3970,
Average Final income,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,52470,3820,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 0-4,663,305000,0,30940,1400,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 5-9,759,327000,0,30670,1650,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 10-14,723,314000,0,32180,1820,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 15-19,561,305000,0,31120,2210,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 20-24,519,332000,0,30630,2580,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 25-29,642,367000,0,35870,2450,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 30-34,708,338000,0,34970,1670,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 35-39,681,310000,0,32190,2030,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 40-44,630,299000,0,37230,2720,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 45-49,693,330000,0,42370,3290,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 50-54,627,317000,0,50640,6980,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 55-59,633,314000,0,51010,3330,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 60-64,558,270000,0,50990,5400,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 65-69,513,233000,0,50550,4790,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 70-74,426,190000,0,43110,4490,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 75-79,339,125000,0,40100,2850,
Average Final income,Intra-family equal,Dollars (tax year 2018/19),Age 80+,312,157000,0,45490,2650,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,21320,860,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,21530,920,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,22510,1030,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,24170,1260,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,30420,2060,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,37750,2940,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,40260,1860,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,39040,2420,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,46090,3510,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,47780,3780,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,53810,7270,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,51910,3570,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,54120,6320,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,50450,4460,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,42920,4650,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,39950,2860,
Average Final income,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,45830,2710,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,21880,810,
